PEDOT-HTL (L1)>>thickness,PEDOT-HTL (L1)>>band gap,PEDOT-HTL (L1)>>electron affinity,N-CS2AgBiBr6 (L2)>>thickness,N-CS2AgBiBr6 (L2)>>band gap,N-CS2AgBiBr6 (L2)>>electron affinity,P-CsPb(I0.6Br0.4)3 (L3)>>thickness,P-CsPb(I0.6Br0.4)3 (L3)>>band gap,P-CsPb(I0.6Br0.4)3 (L3)>>electron affinity,Voc,Jsc,FF,eta,V_MPP,J_MPP,source_file
0.283,1.646,3.6,0.7148,1.871,3.701,0.8241,2.037,3.827,1.483274,20.24063217,49.694,14.9193,1.335178,11.17404826,part1_cleaned.csv
0.365,1.538,3.533,0.6248,1.89,3.731,0.5809,1.637,3.883,1.486861,24.75943221,79.9464,29.4313,1.326001,22.19555718,part1_cleaned.csv
0.476,1.312,3.733,0.3011,2.141,3.681,0.2151,1.618,3.681,1.288244,17.72858264,80.2553,18.3293,1.165668,15.7242796,part1_cleaned.csv
0.335,1.525,3.8,0.3456,2.044,3.695,0.2121,1.99,3.657,1.27974,22.97028961,82.8996,24.3692,1.154835,21.10185307,part1_cleaned.csv
0.07846,1.459,3.69,0.6771,2.172,3.603,0.5327,1.87,3.693,1.336889,18.57051806,82.0867,20.3794,1.217242,16.7422999,part1_cleaned.csv
0.2524,1.594,3.501,0.5021,2.068,3.708,0.7673,1.777,3.963,1.516024,21.35061168,74.506,24.1161,1.31271,18.37124985,part1_cleaned.csv
0.5285,1.284,3.434,0.6618,2.001,3.784,0.9251,1.797,3.739,1.58271,33.23682011,59.8468,31.482,1.077491,29.21784617,part1_cleaned.csv
0.5216,1.508,3.78,0.4399,2.253,3.625,0.2195,2.001,3.794,1.287756,25.44369232,83.4451,27.341,1.159908,23.57170383,part1_cleaned.csv
0.4908,1.542,3.596,0.2143,2.207,3.672,1.179,1.992,3.778,1.437518,24.46889795,83.3765,29.3273,1.308177,22.4184217,part1_cleaned.csv
0.3987,1.775,3.749,0.4173,2.314,3.823,0.5362,1.859,3.758,1.421965,4.77969421,51.1101,3.4737,1.215482,2.85790257,part1_cleaned.csv
0.2983,1.579,3.665,0.7789,1.993,3.701,0.3494,1.996,3.833,1.382236,21.44061243,83.8374,24.846,1.258053,19.74959565,part1_cleaned.csv
0.1845,1.787,3.741,0.4044,1.863,3.771,0.6456,1.936,3.969,1.462122,17.32626084,79.9871,20.2632,1.327458,15.26466765,part1_cleaned.csv
0.07231,1.742,3.795,0.5748,2.09,3.837,0.3753,1.624,3.803,1.333103,5.3237082,59.7925,4.2435,1.18715,3.57452805,part1_cleaned.csv
0.2512,1.466,3.614,0.253,2.052,3.689,0.8581,1.807,3.75,1.41637,24.59542086,81.7681,28.4849,1.283431,22.19434328,part1_cleaned.csv
0.4025,1.362,3.564,0.2272,1.96,3.674,0.4621,1.614,3.788,1.44966,30.15689997,67.8408,29.6581,1.165959,25.43667957,part1_cleaned.csv
0.1964,1.491,3.428,0.9439,1.997,3.74,0.9169,1.817,3.626,1.577575,22.89754832,72.5506,26.2072,1.299422,20.16832164,part1_cleaned.csv
0.1868,1.58,3.562,0.4512,2.348,3.852,1.049,1.926,3.929,1.422775,10.51006989,52.6923,7.8793,1.043683,7.54954391,part1_cleaned.csv
0.08035,1.315,3.467,0.8183,1.801,3.789,0.3187,1.626,3.667,1.517488,24.9948633,70.3975,26.7013,1.208917,22.08700306,part1_cleaned.csv
0.2126,1.768,3.793,0.419,2.099,3.836,0.2344,2.084,3.996,1.435547,15.26058501,72.7616,15.9401,1.297035,12.28963685,part1_cleaned.csv
0.3468,1.458,3.488,0.92,2.199,3.65,0.3308,1.908,3.616,1.535047,24.94027706,77.3519,29.6138,1.339436,22.10914708,part1_cleaned.csv
0.4785,1.591,3.64,0.6516,2.148,3.861,1.039,1.784,3.972,1.383868,17.86771412,69.3676,17.1522,1.174484,14.60403994,part1_cleaned.csv
0.5351,1.585,3.774,0.5415,2.135,3.624,1.064,1.794,4.0,1.330657,21.93746121,77.3904,22.5912,1.194765,18.90850876,part1_cleaned.csv
0.3855,1.284,3.629,0.2157,2.324,3.627,0.8218,1.814,3.977,1.386569,32.01412745,38.618,17.1424,0.674163,25.42773212,part1_cleaned.csv
0.1889,1.324,3.78,0.2329,2.045,3.651,0.5663,1.763,3.692,1.255477,27.05757143,82.864,28.149,1.130616,24.8970687,part1_cleaned.csv
0.5145,1.36,3.611,0.2934,2.001,3.71,0.8,1.709,3.883,1.415877,31.05671044,74.4805,32.7509,1.218461,26.87890425,part1_cleaned.csv
0.4387,1.209,3.418,0.6658,1.855,3.96,0.5189,1.956,3.903,0.375396,35.36100736,,33.0249,1.051188,31.41676247,part1_cleaned.csv
0.2016,1.245,3.618,0.5714,2.002,3.891,0.6176,1.831,3.947,1.404982,29.15800466,74.429,30.491,1.182486,25.78546721,part1_cleaned.csv
0.588,1.679,3.731,0.6714,2.017,3.824,0.5226,1.986,3.88,1.409316,20.28109161,79.28,22.6602,1.269492,17.84980972,part1_cleaned.csv
0.4996,1.543,3.755,0.4513,2.257,3.896,0.5867,1.974,3.714,1.314902,23.25432796,81.5297,24.9295,1.183466,21.06478812,part1_cleaned.csv
0.3644,1.586,3.419,0.629,1.95,3.654,0.4128,2.009,3.721,1.608182,22.17604921,83.8601,29.9071,1.474755,20.27938258,part1_cleaned.csv
0.4552,1.325,3.668,0.4864,2.353,3.725,1.052,2.025,3.788,1.360495,29.41134311,75.7848,30.3245,1.182272,25.64937506,part1_cleaned.csv
0.2343,1.638,3.655,0.8422,2.177,3.728,0.4862,1.733,3.744,1.375173,8.29239343,68.0778,7.7632,1.244725,6.23690715,part1_cleaned.csv
0.2659,1.672,3.794,0.3182,1.836,3.893,0.7277,2.057,3.971,1.471857,18.99822669,43.2312,12.0886,1.328815,9.0972733,part1_cleaned.csv
0.3231,1.348,3.482,0.6241,2.018,3.927,0.658,1.885,3.675,1.531591,28.99451945,67.5489,29.997,1.170013,25.63813144,part1_cleaned.csv
0.2352,1.354,3.644,0.8969,2.346,3.805,0.9587,2.052,3.739,1.37696,24.41946757,74.7265,25.1265,1.169759,21.48007391,part1_cleaned.csv
0.4341,1.236,3.503,0.3139,2.123,3.62,0.7815,1.987,3.678,1.532442,34.42115585,80.4559,42.4392,1.363558,31.12387577,part1_cleaned.csv
0.157,1.664,3.66,0.6412,2.34,3.869,0.5292,2.047,3.717,1.407848,15.39209171,78.4855,17.0076,1.273353,13.35655511,part1_cleaned.csv
0.06943,1.311,3.733,0.2432,1.965,3.781,0.206,1.806,3.718,1.294058,20.29924615,83.6875,21.9834,1.174451,18.71800161,part1_cleaned.csv
0.4844,1.676,3.414,0.2635,2.097,3.842,1.071,2.045,3.947,1.611279,20.26864707,82.0692,26.8025,1.473051,18.19524957,part1_cleaned.csv
0.3127,1.373,3.573,0.8794,1.937,3.635,0.9074,1.851,3.668,1.46192,28.01029371,84.9085,34.769,1.330308,26.13608254,part1_cleaned.csv
0.3914,1.277,3.568,0.4221,1.923,3.778,0.606,1.613,3.682,1.438446,30.86063095,64.176,28.4886,1.049682,27.14020776,part1_cleaned.csv
0.2446,1.355,3.573,0.9148,2.118,3.64,0.4688,1.815,3.626,1.452697,26.11710215,78.3128,29.7121,1.276828,23.27022736,part1_cleaned.csv
0.3438,1.305,3.457,0.866,2.379,3.849,0.2901,1.692,3.864,1.558107,14.08602772,78.4714,17.2225,1.437308,11.98248786,part1_cleaned.csv
0.1882,1.665,3.646,0.9051,2.018,3.704,0.4662,2.097,3.685,1.43929,17.78740226,79.3263,20.3085,1.262414,16.08705206,part1_cleaned.csv
0.05848,1.33,3.502,0.298,2.042,3.832,0.4515,2.054,3.834,1.513636,17.66992241,78.5066,20.9972,1.354804,15.49836405,part1_cleaned.csv
0.07827,1.695,3.524,0.5525,2.086,3.825,0.2903,1.963,3.682,1.507571,15.14450452,81.7429,18.6631,1.384671,13.47834095,part1_cleaned.csv
0.2071,1.658,3.502,0.5843,2.026,3.992,0.2089,1.896,3.688,1.524837,18.45320339,80.2893,22.5919,1.379036,16.38240086,part1_cleaned.csv
0.1263,1.758,3.516,0.7332,1.81,3.865,0.3763,1.9,3.805,1.533063,18.6068211,81.1693,23.1539,1.379848,16.78004187,part1_cleaned.csv
0.4396,1.78,3.533,0.2685,2.331,3.608,0.2866,2.057,3.904,1.534856,17.31153972,80.8862,21.4921,1.404918,15.29772727,part1_cleaned.csv
0.5595,1.637,3.401,0.8588,1.94,3.682,0.3407,1.823,3.72,1.621422,22.24532095,82.6415,29.808,1.474741,20.21236877,part1_cleaned.csv
