actual_Voc,actual_Jsc,actual_FF,actual_eta,pred_XGBoost_Voc,pred_XGBoost_Jsc,pred_XGBoost_FF,pred_XGBoost_eta,pred_RandomForest_Voc,pred_RandomForest_Jsc,pred_RandomForest_FF,pred_RandomForest_eta,pred_GradientBoosting_Voc,pred_GradientBoosting_Jsc,pred_GradientBoosting_FF,pred_GradientBoosting_eta,pred_LinearRegression_Voc,pred_LinearRegression_Jsc,pred_LinearRegression_FF,pred_LinearRegression_eta,pred_RidgeRegression_Voc,pred_RidgeRegression_Jsc,pred_RidgeRegression_FF,pred_RidgeRegression_eta,pred_KNeighborsRegressor_Voc,pred_KNeighborsRegressor_Jsc,pred_KNeighborsRegressor_FF,pred_KNeighborsRegressor_eta,pred_ANN_Voc,pred_ANN_Jsc,pred_ANN_FF,pred_ANN_eta,pred_CNN_Voc,pred_CNN_Jsc,pred_CNN_FF,pred_CNN_eta,pred_RNN_Voc,pred_RNN_Jsc,pred_RNN_FF,pred_RNN_eta
1.42765,18.19784064,81.1386,21.0799,1.4593405,16.538576,76.5087,19.267683,1.4251545999999988,15.330587320420072,74.61652339999937,17.24525879999997,1.5177626743670851,15.413283706157356,73.07004153913688,17.164376470330126,1.4809408291063015,15.302483664875243,73.6487708505303,18.555718988676485,1.4809347042512762,15.304024392249232,73.64953464774794,18.556976105135742,1.4730219999999998,9.908996396,68.527,10.596699999999998,1.46257,19.585672,79.78283,22.569029,1.4711201,18.643261,77.67911,21.161612,1.460783,18.438095,79.0643,21.177921
1.504312,26.78663122,72.4978,29.2133,1.4818784,24.08087,73.516495,27.411242,1.468346323999998,22.686196075680016,77.66346300000008,25.78841100000005,1.4948139267803502,22.77362068861216,76.35520854398014,29.619407566965585,1.4612088075631935,22.018269508895848,72.57028324062351,23.848483123028156,1.4612050359328046,22.017260970689687,72.57129860000526,23.847607991269445,1.5510739999999998,28.379643976,76.79186,33.75240000000001,1.474085,26.150942,74.56365,28.728653,1.4845293,26.43446,74.56664,29.138205,1.5006387,26.998098,72.93531,29.551453
1.48929,26.24036292,85.4039,33.3754,1.5096173,24.41073,78.46527,29.05255,1.4554513639999989,24.0668021639,80.47410240000009,28.12694560000001,1.5146781013760815,23.937825027627788,79.66558300024475,27.71955866169412,1.4764775596337982,21.37936372365677,75.6574601193874,24.39879893131617,1.4764689160942293,21.378678106020534,75.65762771835433,24.39791004961213,1.5273432,27.246352738,70.05192,29.26162,1.4832262,26.385857,81.62163,31.860516,1.4800595,27.228899,83.61696,33.49004,1.5150106,26.73242,81.373276,32.99421
1.264336,32.74189201,87.5373,36.2376,1.2790844,32.59123,87.05705,36.32158,1.2771309939999955,32.3317435738603,86.55548200000071,35.730174200000256,1.2837004490435362,30.12128851638655,81.92004654068795,34.387652108686005,1.2671136436700592,26.78773824959142,80.85957600952185,28.20744356373884,1.2671805255160238,26.785061577689365,80.85782599373988,28.205115375751017,1.3218489999999998,32.180392483999995,84.69724,35.983320000000006,1.3242464,31.129597,84.15188,34.664772,1.2953231,32.909977,84.12439,36.17711,1.3063682,32.44716,85.47194,36.36589
1.507893,17.85145665,81.1312,21.839,1.4111496,18.606916,80.44753,21.443739,1.4854162479999984,18.62001510781992,81.39979900000036,22.49951219999995,1.38780762432986,17.13543919619423,79.85502382132215,22.331745468232228,1.299868003204542,17.627556582690865,81.57694971320693,20.17262290201685,1.299921417551677,17.628139583493443,81.57502673755877,20.173177416105062,1.387095,18.479434974,78.39826,20.16398,1.5469116,18.033278,80.280785,21.662981,1.4914954,18.19722,81.8118,21.992882,1.5053843,17.880207,81.34381,21.483837
1.31193,19.36188587,82.9519,21.071,1.3450419,19.12948,83.4681,21.274921,1.3434304019999987,19.084740170439996,82.66515380000004,21.150706799999952,1.4072142255248423,19.787882191816912,83.86349258972643,21.614396188031776,1.4408286260758216,19.505950615506148,81.53065676935661,22.24504065965217,1.4408337627370875,19.5062144830402,81.52878116917086,22.24520707247968,1.3033668,20.158606006000003,82.55405999999999,21.684520000000003,1.3462259,19.90017,82.53475,21.9819,1.3425457,19.48462,79.82774,21.419714,1.3414438,19.792637,81.84633,21.7146
1.500116,16.02982247,83.7337,20.1351,1.4476274,15.049332,77.057236,18.830248,1.4816390399512256,17.42705615218801,80.27064187748915,20.784231218354936,1.4030991175527707,16.615499565618826,77.47567510610801,19.92995209919063,1.429634650598611,12.213782746118133,76.36207280447178,14.410813041455729,1.429643229453124,12.2165843350683,76.36195639076175,14.41369827246099,1.3993826,14.556604466,75.67808,15.74752,1.4733924,18.436462,79.405716,21.139526,1.4798107,17.359915,79.54471,20.640936,1.4994575,16.972792,79.913155,20.187239
1.433566,24.95729441,59.6021,21.3244,1.4185022,23.150171,69.04124,22.253654,1.4110257859999986,19.79327572810002,71.04131480000015,19.31082399999997,1.4449895408308384,25.747297121317448,72.03058044445943,22.15499902006496,1.4456268824571423,23.594631257069302,71.15322234221765,23.99086462096694,1.4456384682174552,23.59343929961951,71.15479037595422,23.990403240761506,1.3819826,27.430371884,67.68556,25.7158,1.4284267,17.861542,79.14199,19.656212,1.4101889,20.381342,78.767815,21.330263,1.4450705,18.190176,81.399536,21.127003
1.484115,18.74638521,82.2618,22.8867,1.4394231,17.225367,80.197784,21.679428,1.447944390000001,18.665349929940003,80.1711301000001,21.683410799999997,1.4453909369661957,16.168640595642557,82.73417722633594,20.139229553904503,1.36158389231692,14.746684059634791,81.34308649581742,17.02602604206077,1.361613454859467,14.748284040270056,81.34103537121251,17.027628149959646,1.4971083999999997,20.057797236,81.88374,24.44408,1.4619476,20.10129,79.50546,23.310453,1.4660294,19.175571,81.73159,22.738682,1.481152,18.49367,81.980194,22.15871
1.445859,19.76717797,82.2171,23.4981,1.447037,19.880968,83.70051,23.803505,1.4573286480000058,19.60719423098004,82.71910880000067,23.623186400000098,1.4434812133717818,19.344988327879594,84.54229489186982,24.67830067295023,1.4047675580634835,19.9318920555594,85.0623327477304,24.47441446808636,1.4047873544209046,19.93196668462257,85.05937978201815,24.47383176973424,1.4811348,19.154142124,82.4382,23.39396,1.4450892,19.607964,82.92281,23.344225,1.453515,19.515816,82.83433,23.516302,1.4476342,19.604755,83.95491,23.663351
